zone,hour,cluster,count
12705,18,MON,4073
12705,19,MON,3752
12705,20,MON,3509
12705,21,MON,3298
12705,22,MON,2990
12705,23,MON,2808
12705,0,MON,2696
12706,1,MON,2782
12706,2,MON,2477
12706,3,MON,2535
12706,4,MON,2876
12706,5,MON,3485
12706,6,MON,3965
12706,7,MON,3741
12706,8,MON,3602
12706,9,MON,3613
12706,10,MON,3660
12706,11,MON,3689
12706,12,MON,3780
12706,13,MON,3758
12706,14,MON,3887
12706,15,MON,4024
12706,16,MON,4105
12706,17,MON,4066
12706,18,MON,3839
12706,19,MON,3676
12706,20,MON,3589
12706,21,MON,3460
12706,22,MON,3269
12706,23,MON,3114
12706,0,MON,3001
138,1,MON,2887
138,2,MON,2554
138,3,MON,2495
138,4,MON,2761
138,5,MON,3206
138,6,MON,3731
138,7,MON,4437
138,8,MON,4543
138,9,MON,4359
138,10,MON,4395
138,11,MON,4562
138,12,MON,4540
138,13,MON,4369
138,14,MON,4323
138,15,MON,4379
138,16,MON,4444
138,17,MON,4315
138,18,MON,4183
138,19,MON,4110
138,20,MON,3962
138,21,MON,3804
138,22,MON,3590
138,23,MON,3320
138,0,MON,3138
140,1,MON,2235
140,2,MON,1951
140,3,MON,1867
140,4,MON,2055
140,5,MON,2291
140,6,MON,2492
140,7,MON,3123
140,8,MON,3724
140,9,MON,4039
140,10,MON,4176
140,11,MON,4391
140,12,MON,4406
140,13,MON,4361
140,14,MON,4285
140,15,MON,4191
140,16,MON,4155
140,17,MON,3927
140,18,MON,3514
140,19,MON,3256
140,20,MON,3068
140,21,MON,2901
140,22,MON,2736
140,23,MON,2571
140,0,MON,2442
141,1,MON,664
141,2,MON,587
141,3,MON,651
141,4,MON,703
141,5,MON,782
141,6,MON,881
141,7,MON,1161
141,8,MON,1510
141,9,MON,1835
141,10,MON,2021
141,11,MON,2132
141,12,MON,2111
141,13,MON,1997
141,14,MON,1970
141,15,MON,1934
141,16,MON,1823
141,17,MON,1689
141,18,MON,1347
141,19,MON,1052
141,20,MON,950
141,21,MON,865
141,22,MON,801
141,23,MON,770
141,0,MON,730
143,1,MON,1179
143,2,MON,1023
143,3,MON,897
143,4,MON,1033
143,5,MON,1315
143,6,MON,1700
143,7,MON,2400
143,8,MON,2782
143,9,MON,3062
143,10,MON,3335
143,11,MON,3596
143,12,MON,3539
143,13,MON,3346
143,14,MON,3336
143,15,MON,3267
143,16,MON,3087
143,17,MON,2695
143,18,MON,2238
143,19,MON,1942
143,20,MON,1707
143,21,MON,1615
143,22,MON,1470
143,23,MON,1391
143,0,MON,1310
145,1,MON,2552
145,2,MON,2241
145,3,MON,2063
145,4,MON,2279
145,5,MON,2684
145,6,MON,3266
145,7,MON,4260
145,8,MON,5382
145,9,MON,6119
145,10,MON,6553
145,11,MON,6741
145,12,MON,6667
145,13,MON,6509
145,14,MON,6308
145,15,MON,5923
145,16,MON,5306
145,17,MON,4730
145,18,MON,4344
145,19,MON,3950
145,20,MON,3702
145,21,MON,3479
145,22,MON,3159
145,23,MON,2912
145,0,MON,2824
147,1,MON,2919
147,2,MON,2571
147,3,MON,2214
147,4,MON,2448
147,5,MON,2994
147,6,MON,4270
147,7,MON,6212
147,8,MON,7851
147,9,MON,8923
147,10,MON,9624
147,11,MON,10253
147,12,MON,10296
147,13,MON,10092
147,14,MON,9941
147,15,MON,9752
147,16,MON,9135
147,17,MON,8495
147,18,MON,7222
147,19,MON,5960
147,20,MON,5126
147,21,MON,4468
147,22,MON,3849
147,23,MON,3490
147,0,MON,3250
149,1,MON,2877
149,2,MON,2591
149,3,MON,2464
149,4,MON,2615
149,5,MON,2951
149,6,MON,3491
149,7,MON,4387
149,8,MON,5322
149,9,MON,6280
149,10,MON,7245
149,11,MON,8163
149,12,MON,8477
149,13,MON,8208
149,14,MON,8040
149,15,MON,7858
149,16,MON,7378
149,17,MON,7059
149,18,MON,6447
149,19,MON,5801
149,20,MON,5216
149,21,MON,4611
149,22,MON,3956
149,23,MON,3394
149,0,MON,3096
151,1,MON,2922
151,2,MON,2578
151,3,MON,2611
151,4,MON,2821
151,5,MON,3314
151,6,MON,4083
151,7,MON,5143
151,8,MON,5605
151,9,MON,6050
151,10,MON,6490
151,11,MON,7061
151,12,MON,7266
151,13,MON,7154
151,14,MON,6929
151,15,MON,7028
151,16,MON,6721
151,17,MON,6433
151,18,MON,6219
151,19,MON,5851
151,20,MON,5352
151,21,MON,4868
151,22,MON,4214
